Order ID,Order Date,Date Key,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,Sales,Quantity,Discount,Profit,Order Year,Order Month,Profit Margin,Discount Category
EMEA-2022-152156,2022-11-09,20221109,Ireland,Dublin,Emea,Ukir,Chevron,1017,Energy,Smb,Marketing Suite,261.96,2,0.0,41.9136,2022,11,0.16000000000000003,No Discount
EMEA-2022-152156,2022-11-09,20221109,Ireland,Dublin,Emea,Ukir,Chevron,1017,Energy,Smb,Financehub,731.94,3,0.0,219.582,2022,11,0.3,No Discount
AMER-2022-138688,2022-06-13,20220613,United States,New York City,Amer,Namer,Phillips 66,1056,Energy,Strategic,Financehub,14.62,2,0.0,6.8714,2022,6,0.47000000000000003,No Discount
EMEA-2021-108966,2021-10-11,20211011,Germany,Stuttgart,Emea,Eu-West,Royal Dutch Shell,1031,Energy,Smb,Contactmatcher,957.5775,5,0.45,-383.031,2021,10,-0.4,Medium
EMEA-2021-108966,2021-10-11,20211011,Germany,Stuttgart,Emea,Eu-West,Royal Dutch Shell,1031,Energy,Smb,Marketing Suite - Gold,22.368,2,0.2,2.5164,2021,10,0.1125,Low
AMER-2020-115812,2020-06-09,20200609,United States,New York City,Amer,Namer,Bnp Paribas,1065,Finance,Smb,Saas Connector Pack,48.86,7,0.0,14.1694,2020,6,0.29,No Discount
AMER-2020-115812,2020-06-09,20200609,United States,New York City,Amer,Namer,Bnp Paribas,1065,Finance,Smb,Chatbot Plugin,7.28,4,0.0,1.9656,2020,6,0.27,No Discount
AMER-2020-115812,2020-06-09,20200609,United States,New York City,Amer,Namer,Bnp Paribas,1065,Finance,Smb,Site Analytics,907.152,6,0.2,90.7152,2020,6,0.09999999999999999,Low
AMER-2020-115812,2020-06-09,20200609,United States,New York City,Amer,Namer,Bnp Paribas,1065,Finance,Smb,Contactmatcher,18.504,3,0.2,5.7825,2020,6,0.31249999999999994,Low
AMER-2020-115812,2020-06-09,20200609,United States,New York City,Amer,Namer,Bnp Paribas,1065,Finance,Smb,Oneview,114.9,5,0.0,34.47,2020,6,0.3,No Discount
AMER-2020-115812,2020-06-09,20200609,United States,New York City,Amer,Namer,Bnp Paribas,1065,Finance,Smb,Contactmatcher,1706.184,9,0.2,85.3092,2020,6,0.05,Low
AMER-2020-115812,2020-06-09,20200609,United States,New York City,Amer,Namer,Bnp Paribas,1065,Finance,Smb,Site Analytics,911.424,4,0.2,68.3568,2020,6,0.07500000000000001,Low
EMEA-2023-114412,2023-04-16,20230416,Sweden,Stockholm,Emea,Nor,Engie,1062,Energy,Smb,Support,15.552,3,0.2,5.4432,2023,4,0.35000000000000003,Low
AMER-2022-161389,2022-12-06,20221206,Canada,Toronto,Amer,Namer,Microsoft,1066,Tech,Smb,Contactmatcher,407.976,3,0.2,132.5922,2022,12,0.32499999999999996,Low
APJ-2021-118983,2021-11-22,20211122,Japan,Saitama,Apj,Japn,Pfizer,1074,Healthcare,Enterprise,Oneview,68.81,5,0.8,-123.858,2021,11,-1.8,High
APJ-2021-118983,2021-11-22,20211122,Japan,Saitama,Apj,Japn,Pfizer,1074,Healthcare,Enterprise,Contactmatcher,2.544,3,0.8,-3.816,2021,11,-1.5,High
EMEA-2020-105893,2020-11-11,20201111,Italy,Naples,Emea,Eu,Toyota Motor,1087,Manufacturing,Smb,Marketing Suite - Gold,665.88,6,0.0,13.3176,2020,11,0.02,No Discount
EMEA-2020-167164,2020-05-13,20200513,Turkey,Ankara,Emea,Mea,Home Depot,1047,Retail,Smb,Marketing Suite - Gold,55.5,2,0.0,9.99,2020,5,0.18,No Discount
AMER-2020-143336,2020-08-27,20200827,United States,Los Angeles,Amer,Namer,Wells Fargo,1099,Finance,Smb,Chatbot Plugin,8.56,2,0.0,2.4824,2020,8,0.29,No Discount
AMER-2020-143336,2020-08-27,20200827,United States,Los Angeles,Amer,Namer,Wells Fargo,1099,Finance,Smb,Site Analytics,213.48,3,0.2,16.011,2020,8,0.075,Low
AMER-2020-143336,2020-08-27,20200827,United States,Los Angeles,Amer,Namer,Wells Fargo,1099,Finance,Smb,Contactmatcher,22.72,4,0.2,7.384,2020,8,0.325,Low
AMER-2022-137330,2022-12-10,20221210,Costa Rica,San José,Amer,Latam,Carrefour,1048,Retail,Strategic,Chatbot Plugin,19.46,7,0.0,5.0596,2022,12,0.25999999999999995,No Discount
AMER-2022-137330,2022-12-10,20221210,Costa Rica,San José,Amer,Latam,Carrefour,1048,Retail,Strategic,Oneview,60.34,7,0.0,15.6884,2022,12,0.25999999999999995,No Discount
EMEA-2023-156909,2023-07-17,20230717,France,Paris,Emea,Eu-West,Costco Wholesale,1025,Retail,Smb,Financehub,71.372,2,0.3,-1.0196,2023,7,-0.014285714285714287,Medium
EMEA-2021-106320,2021-09-25,20210925,Turkey,Istanbul,Emea,Mea,Mckesson,1063,Consumer Products,Smb,Contactmatcher,1044.63,3,0.0,240.2649,2021,9,0.22999999999999998,No Discount
AMER-2022-121755,2022-01-16,20220116,United States,New York City,Amer,Namer,Siemens,1043,Manufacturing,Smb,Contactmatcher,11.648,2,0.2,4.2224,2022,1,0.36250000000000004,Low
AMER-2022-121755,2022-01-16,20220116,United States,New York City,Amer,Namer,Siemens,1043,Manufacturing,Smb,Data Smasher,90.57,3,0.0,11.7741,2022,1,0.13,No Discount
EMEA-2021-150630,2021-09-17,20210917,France,Paris,Emea,Eu-West,Intel,1051,Tech,Smb,Marketing Suite,3083.43,7,0.5,-1665.0522,2021,9,-0.54,Medium
EMEA-2021-150630,2021-09-17,20210917,France,Paris,Emea,Eu-West,Intel,1051,Tech,Smb,Contactmatcher,9.618,2,0.7,-7.0532,2021,9,-0.7333333333333334,High
EMEA-2021-150630,2021-09-17,20210917,France,Paris,Emea,Eu-West,Intel,1051,Tech,Smb,Saas Connector Pack,124.2,3,0.2,15.525,2021,9,0.125,Low
